sp	id	d	p	c	o	f	g	s
UP000574967	1160894	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Machaerirhynchus	Machaerirhynchus nigripectus
UP000564407	720584	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Malurus	Malurus elegans
UP000694560	2593467	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Malurus	Malurus cyaneus samueli
UP000053258	328815	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Manacus	Manacus vitellinus
UP000233140	9568	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mandrillus	Mandrillus leucophaeus
UP000335636	9995	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Marmota	Marmota monax
UP000694407	9994	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Marmota	Marmota marmota marmota
UP000261640	205130	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mastacembelus	Mastacembelus armatus
UP000265160	106582	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Maylandia	Maylandia zebra
UP000538725	254552	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Melanocharis	Melanocharis versteri
UP000001645	9103	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Meleagris	Meleagris gallopavo
UP000694405	13146	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Melopsittacus	Melopsittacus undulatus
UP000560247	44397	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Melospiza	Melospiza melodia
UP000677803	238744	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Menidia	Menidia menidia
UP000521578	47692	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Menura	Menura novaehollandiae
UP000052967	57421	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Merops	Merops nubicus
UP000574277	1118748	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mesembrinibis	Mesembrinibis cayennensis
UP000053369	54374	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mesitornis	Mesitornis unicolor
UP000189706	10036	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mesocricetus	Mesocricetus auratus
UP000515156	1415580	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Microcaecilia	Microcaecilia unicolor
UP000694394	30608	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Microcebus	Microcebus murinus
UP000710432	79684	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Microtus	Microtus ochrogaster
UP000525714	254557	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mionectes	Mionectes macconnelli
UP000586926	874463	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mohoua	Mohoua ochrocephala
UP000261620	94237	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Mola	Mola mola
UP000550707	27622	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Molossus	Molossus molossus
UP000553862	84834	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Molothrus	Molothrus ater
UP000002280	13616	Eukaryota	Amorphea	Opisthokonta	Metazoa	Vertebrata	Monodelphis	Monodelphis domestica
