code	d	p	c	o	f	g	s
UP000691718	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Parnassius	Parnassius apollo
UP000009046	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pediculus	Pediculus humanus corporis
UP000283509	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Penaeus	Penaeus vannamei
UP000327044	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Photinus	Photinus pyralis
UP000663880	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pieris	Pieris macdunnoughi
UP000653454	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Plutella	Plutella xylostella
UP000504615	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pogonomyrmex	Pogonomyrmex barbatus
UP000324222	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Portunus	Portunus trituberculatus
UP000668214	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Pseudoatta	Pseudoatta argentina
UP000015103	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Rhodnius	Rhodnius prolixus
UP000625711	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Rhynchophorus	Rhynchophorus ferrugineus
UP000070412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Sarcoptes	Sarcoptes scabiei
UP000504634	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Scaptodrosophila	Scaptodrosophila lebanonensis
UP000694846	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Sipha	Sipha flava
UP000504635	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Sitophilus	Sitophilus oryzae
UP000301870	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Spodoptera	Spodoptera litura
UP000648187	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Spodoptera	Spodoptera exigua
UP000054359	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Stegodyphus	Stegodyphus mimosarum
UP000014500	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Strigamia	Strigamia maritima
UP000310200	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Temnothorax	Temnothorax longispinosus
UP000504618	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Temnothorax	Temnothorax curvispinosus
UP000719412	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tenebrio	Tenebrio molitor
UP000015104	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tetranychus	Tetranychus urticae
UP000515158	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Thrips	Thrips palmi
UP000318571	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tigriopus	Tigriopus californicus
UP000075809	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trachymyrmex	Trachymyrmex zeteki
UP000078541	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trachymyrmex	Trachymyrmex septentrionalis
UP000078492	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trachymyrmex	Trachymyrmex cornetzi
UP000007266	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tribolium	Tribolium castaneum
UP000479190	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trichogramma	Trichogramma brassicae
UP000215335	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trichomalopsis	Trichomalopsis sarcophagae
UP000322000	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Trichoplusia	Trichoplusia ni
UP000192247	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Tropilaelaps	Tropilaelaps mercedesae
UP000694848	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Vanessa	Vanessa tameamea
UP000594260	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Varroa	Varroa destructor
UP000600918	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Vespula	Vespula pensylvanica
UP000614350	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Vespula	Vespula vulgaris
UP000617340	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Vespula	Vespula germanica
UP000027135	Eukaryota	Amorphea	Opisthokonta	Metazoa	Arthropoda	Zootermopsis	Zootermopsis nevadensis
UP000307173	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida inconspicua
UP000694255	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida subhashii
UP000182334	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida intermedia
UP000241107	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida pseudohaemulonii
UP000244309	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida haemuloni
UP000002428	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida glabrata
UP000094801	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida arabinofermentans NRRL YB-2248
UP000230249	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Candida	Candida auris
UP000039046	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Torrubiella	Torrubiella hemipterigena
UP000075602	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Acidomyces	Acidomyces richmondensis BFW
UP000029964	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Acremonium	Acremonium chrysogenum ATCC 11550
UP000243081	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Akanthomyces	Akanthomyces lecanii
UP000076881	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Akanthomyces	Akanthomyces lecanii RCEF 1005
UP000664203	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Alectoria	Alectoria fallacina
UP000596902	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Alternaria	Alternaria burnsii
UP000676310	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Alternaria	Alternaria atra
UP000266453	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Alternaria	Alternaria sp. MG1
UP000077248	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Alternaria	Alternaria alternata
UP000241818	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Amorphotheca	Amorphotheca resinae ATCC 22711
UP000283090	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Arthrobotrys	Arthrobotrys flagrans
UP000275078	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ascobolus	Ascobolus immersus RN42
UP000651452	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ascochyta	Ascochyta lentis
UP000076837	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ascochyta	Ascochyta rabiei
UP000298138	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ascodesmis	Ascodesmis nigricans
UP000095038	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ascoidea	Ascoidea rubescens DSM 1968
UP000242877	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Ascosphaera	Ascosphaera apis ARSEF 7405
UP000034291	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus rambellii
UP000036893	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus udagawae
UP000179179	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus bombycis
UP000215289	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus turcosus
UP000215305	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus thermomutatus
UP000231358	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus arachidicola
UP000253729	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus welwitschiae
UP000256690	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus mulundensis
UP000308092	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus tanneri
UP000325579	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus pseudonomiae
UP000326198	Eukaryota	Amorphea	Opisthokonta	Fungi	Ascomycota	Aspergillus	Aspergillus bertholletiae
